#wave(A)    	flux(maggies)	flux(ABmag)
6.438900e+03	3.052023e-08	1.878853e+01
6.464300e+03	3.045281e-08	1.879093e+01
6.489700e+03	3.053337e-08	1.878806e+01
6.515100e+03	3.050402e-08	1.878911e+01
6.540500e+03	3.037486e-08	1.879371e+01
6.565900e+03	3.016312e-08	1.880131e+01
6.591300e+03	3.056685e-08	1.878687e+01
6.616700e+03	3.075646e-08	1.878016e+01
6.642100e+03	3.102553e-08	1.877070e+01
6.667500e+03	3.136958e-08	1.875873e+01
6.692900e+03	3.087106e-08	1.877612e+01
6.718300e+03	3.154049e-08	1.875283e+01
6.743700e+03	3.181208e-08	1.874352e+01
6.769100e+03	3.158662e-08	1.875124e+01
6.794500e+03	3.198913e-08	1.873749e+01
6.819900e+03	3.191726e-08	1.873994e+01
6.845300e+03	3.196401e-08	1.873835e+01
6.870700e+03	3.193194e-08	1.873944e+01
6.896100e+03	3.213289e-08	1.873263e+01
6.921500e+03	3.227509e-08	1.872783e+01
6.946900e+03	3.239649e-08	1.872376e+01
6.972300e+03	3.252283e-08	1.871953e+01
6.997700e+03	3.249314e-08	1.872052e+01
7.023100e+03	3.262830e-08	1.871601e+01
7.048500e+03	3.286053e-08	1.870831e+01
7.073900e+03	3.280200e-08	1.871025e+01
7.099300e+03	3.290313e-08	1.870691e+01
7.124700e+03	3.299834e-08	1.870377e+01
7.150100e+03	3.314670e-08	1.869890e+01
7.175500e+03	3.332962e-08	1.869292e+01
7.200900e+03	3.354050e-08	1.868608e+01
7.226300e+03	3.382531e-08	1.867690e+01
7.251700e+03	3.382938e-08	1.867676e+01
7.277100e+03	3.400769e-08	1.867106e+01
7.302500e+03	3.401747e-08	1.867074e+01
7.327900e+03	3.414502e-08	1.866668e+01
7.353300e+03	3.421209e-08	1.866455e+01
7.378700e+03	3.448020e-08	1.865608e+01
7.404100e+03	3.470045e-08	1.864916e+01
7.429500e+03	3.462878e-08	1.865141e+01
7.454900e+03	3.465725e-08	1.865051e+01
7.480300e+03	3.428243e-08	1.866232e+01
7.505700e+03	3.475918e-08	1.864733e+01
7.531100e+03	3.499128e-08	1.864010e+01
7.556500e+03	3.520103e-08	1.863361e+01
7.581900e+03	3.533177e-08	1.862959e+01
7.607300e+03	3.535728e-08	1.862880e+01
7.632700e+03	3.527769e-08	1.863125e+01
7.658100e+03	3.544645e-08	1.862607e+01
7.683500e+03	3.577168e-08	1.861615e+01
7.708900e+03	3.595561e-08	1.861058e+01
7.734300e+03	3.605022e-08	1.860773e+01
7.759700e+03	3.609296e-08	1.860644e+01
7.785100e+03	3.593292e-08	1.861127e+01
7.810500e+03	3.613193e-08	1.860527e+01
7.835900e+03	3.612078e-08	1.860561e+01
7.861300e+03	3.630155e-08	1.860019e+01
7.886700e+03	3.631449e-08	1.859980e+01
7.912100e+03	3.629127e-08	1.860049e+01
7.937500e+03	3.620710e-08	1.860302e+01
7.962900e+03	3.647519e-08	1.859501e+01
7.988300e+03	3.662644e-08	1.859051e+01
8.013700e+03	3.670323e-08	1.858824e+01
8.039100e+03	3.694437e-08	1.858113e+01
8.064500e+03	3.690237e-08	1.858236e+01
8.089900e+03	3.693955e-08	1.858127e+01
8.115300e+03	3.725376e-08	1.857207e+01
8.140700e+03	3.732762e-08	1.856992e+01
8.166100e+03	3.737286e-08	1.856861e+01
8.191500e+03	3.742821e-08	1.856700e+01
8.216900e+03	3.749584e-08	1.856504e+01
8.242300e+03	3.722898e-08	1.857280e+01
8.267700e+03	3.741551e-08	1.856737e+01
8.293100e+03	3.728506e-08	1.857116e+01
8.318500e+03	3.550641e-08	1.862423e+01
8.343900e+03	3.136028e-08	1.875905e+01
8.369300e+03	3.721815e-08	1.857311e+01
8.394700e+03	3.818632e-08	1.854523e+01
8.420100e+03	3.846964e-08	1.853720e+01
8.445500e+03	3.851311e-08	1.853598e+01
8.470900e+03	3.855266e-08	1.853486e+01
8.496300e+03	3.887837e-08	1.852573e+01
8.521700e+03	3.895331e-08	1.852364e+01
8.547100e+03	3.910872e-08	1.851932e+01
8.572500e+03	3.923417e-08	1.851584e+01
8.597900e+03	3.938145e-08	1.851177e+01
8.623300e+03	3.945151e-08	1.850984e+01
8.648700e+03	3.947539e-08	1.850918e+01
8.674100e+03	3.948425e-08	1.850894e+01
8.699500e+03	3.955946e-08	1.850687e+01
8.724900e+03	3.978050e-08	1.850082e+01
8.750300e+03	3.998127e-08	1.849536e+01
8.775700e+03	3.988195e-08	1.849806e+01
8.801100e+03	3.962959e-08	1.850495e+01
8.826500e+03	3.943909e-08	1.851018e+01
8.851900e+03	3.949694e-08	1.850859e+01
8.877300e+03	3.959429e-08	1.850592e+01
8.902700e+03	3.959735e-08	1.850583e+01
8.928100e+03	3.992194e-08	1.849697e+01
8.953500e+03	4.023578e-08	1.848847e+01
8.978900e+03	4.019089e-08	1.848968e+01
9.004300e+03	4.001989e-08	1.849431e+01
9.029700e+03	3.985571e-08	1.849877e+01
9.055100e+03	3.982560e-08	1.849959e+01
9.080500e+03	3.995847e-08	1.849598e+01
9.105900e+03	4.016776e-08	1.849031e+01
9.131300e+03	4.022667e-08	1.848871e+01
9.156700e+03	4.042389e-08	1.848340e+01
9.182100e+03	4.057584e-08	1.847933e+01
9.207500e+03	4.047674e-08	1.848199e+01
9.232900e+03	4.040310e-08	1.848396e+01
9.258300e+03	4.038937e-08	1.848433e+01
9.283700e+03	4.044178e-08	1.848292e+01
9.309100e+03	4.050014e-08	1.848136e+01
9.334500e+03	4.070873e-08	1.847578e+01
9.359900e+03	4.100252e-08	1.846797e+01
9.385300e+03	4.119044e-08	1.846301e+01
9.410700e+03	4.112062e-08	1.846485e+01
9.436100e+03	4.108423e-08	1.846581e+01
9.461500e+03	4.098824e-08	1.846835e+01
9.486900e+03	4.114417e-08	1.846423e+01
9.512300e+03	4.135923e-08	1.845857e+01
9.537700e+03	4.149392e-08	1.845504e+01
9.563100e+03	4.162603e-08	1.845159e+01
9.588500e+03	4.188280e-08	1.844491e+01
9.613900e+03	4.215904e-08	1.843777e+01
9.639300e+03	4.228505e-08	1.843453e+01
9.664700e+03	4.229021e-08	1.843440e+01
9.690100e+03	4.234110e-08	1.843309e+01
9.715500e+03	4.228686e-08	1.843449e+01
9.740900e+03	4.208114e-08	1.843978e+01
9.766300e+03	4.228540e-08	1.843452e+01
9.791700e+03	4.225281e-08	1.843536e+01
9.817100e+03	4.241752e-08	1.843114e+01
9.842500e+03	4.260426e-08	1.842637e+01
9.867900e+03	4.288347e-08	1.841928e+01
9.893300e+03	4.312006e-08	1.841330e+01
9.918700e+03	4.323939e-08	1.841030e+01
9.944100e+03	4.321584e-08	1.841089e+01
9.969500e+03	4.295170e-08	1.841755e+01
9.994900e+03	4.250110e-08	1.842900e+01
1.002030e+04	4.195832e-08	1.844295e+01
