,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
215,ZTF_r,P48,58643.29480319999,18.348451316212795,0.019645375964308,False,
216,ZTF_g,P48,58643.333287,18.440890981478077,0.0156751018639545,False,
217,ZTF_g,P48,58643.353287,18.463142705031235,0.014930227939075,False,
218,ZTF_g,P48,58643.4266782,18.480726135043795,0.0182254169025684,False,
219,ZTF_g,P48,58644.2139931,18.437186005590704,0.0188749436373761,False,
220,ZTF_i,P48,58644.2364699,18.31632422998125,0.0288796287549203,False,
221,ZTF_r,P48,58644.2768056,18.30562420593101,0.0159941362569917,False,
222,ZTF_r,P48,58644.2964352,18.36462721263172,0.0208218126001109,False,
223,ZTF_r,P48,58644.29739580001,18.2715835724291,0.0161000018406433,False,
224,ZTF_r,P48,58644.3137153,18.32606083067433,0.0161172379640014,False,
225,ZTF_g,P48,58644.3404167,18.38494076716656,0.0142062630857067,False,
226,ZTF_g,P48,58644.341331,18.369954939356,0.0146553173735628,False,
227,ZTF_g,P48,58645.248425900005,18.36698547494878,0.0214775097152017,False,
228,ZTF_r,P48,58645.3146065,18.31617909332737,0.0182933269299643,False,
229,ZTF_g,P48,58645.407963,18.340490761237184,0.0129455743796248,False,
230,ZTF_r,P48,58646.246076400006,18.382708418238032,0.0339948515860896,False,
231,ZTF_r,P48,58646.2465394,18.302828785819685,0.0365648062160919,False,
232,ZTF_r,P48,58646.2513079,18.29933213274648,0.0191242346371314,False,
233,ZTF_r,P48,58646.276713,18.33086790627446,0.0238522533110098,False,
234,ZTF_r,P48,58646.3086574,18.264281329117992,0.0366803963965493,False,
235,ZTF_g,P48,58646.3185301,18.368388749720346,0.0257077441169758,False,
236,ZTF_g,P48,58647.2163773,18.36966679313608,0.0281132387969029,False,
237,ZTF_r,P48,58647.2551273,18.2851883200737,0.0215383080152626,False,
238,ZTF_r,P48,58647.2741319,18.277764331205915,0.0239568311354207,False,
239,ZTF_r,P48,58647.2750347,18.255896290105497,0.0201223103554031,False,
240,ZTF_g,P48,58647.3385995,18.34028843819007,0.0236027361748133,False,
241,ZTF_g,P48,58647.3695602,18.397708759780613,0.0262414591129838,False,
242,ZTF_g,P48,58647.37048609999,18.339213871866026,0.0222209716764888,False,
243,ZTF_i,P48,58648.3070949,18.23198478439683,0.0305599381379142,False,
244,ZTF_g,P48,58650.2134028,18.33485545963573,0.0385941284003414,False,
245,ZTF_r,P48,58650.29376159999,18.195738538596668,0.0287565568601531,False,
246,ZTF_r,P48,58651.35144680001,18.2892790270702,0.0387935639584215,False,
247,ZTF_i,P48,58652.2564236,18.19372702370071,0.0357169728540602,False,
248,ZTF_r,P48,58653.225289400005,18.187376446582142,0.0224260769249635,False,
249,ZTF_r,P48,58654.2123264,18.212500568262268,0.013716284767144,False,
250,ZTF_g,P48,58654.2754745,18.327612611733816,0.0290231240471798,False,
251,ZTF_g,P48,58654.2979167,18.309898699137,0.0330884315466047,False,
252,ZTF_r,P48,58654.3430324,18.24646480362379,0.0230032378799222,False,
253,ZTF_r,P48,58654.35063659999,18.29006484139088,0.0306987970162978,False,
254,ZTF_r,P48,58654.351088,18.309183419006565,0.0273845663800444,False,
255,ZTF_r,P48,58654.35854169999,18.27919043888423,0.0271291409882089,False,
256,ZTF_r,P48,58655.1927546,18.24592186397488,0.0166073509931824,False,
257,ZTF_r,P48,58655.2106597,18.294338479455288,0.0202575858277222,False,
258,ZTF_g,P48,58655.272789400005,18.363170256371525,0.0359391878061691,False,
259,ZTF_r,P48,58655.31682869999,18.35194034953125,0.0344702601148095,False,
260,ZTF_r,P48,58655.3172801,18.32563422847722,0.0284105202206096,False,
261,ZTF_g,P48,58657.215544000006,18.27821870369771,0.0118502057430762,False,
262,ZTF_g,P48,58657.2350694,18.30604688151758,0.0134701541470334,False,
263,ZTF_g,P48,58657.2373727,18.30440410798548,0.0136366739239777,False,
264,ZTF_r,P48,58657.3428588,18.23827776067136,0.0165246007468198,False,
265,ZTF_r,P48,58657.3437731,18.157746335162187,0.0181004930857072,False,
266,ZTF_g,P48,58658.21689809999,18.286253176633878,0.0126022015156815,False,
267,ZTF_i,P48,58659.1799653,18.16352434733054,0.0253212018664745,False,
268,ZTF_g,P48,58660.17302080001,18.258154192611627,0.0253697529597471,False,
269,ZTF_g,P48,58660.20342590001,18.31290470988715,0.011600127997953,False,
270,ZTF_r,P48,58660.2474884,18.133369946401103,0.0108346308006603,False,
271,ZTF_r,P48,58661.3060995,18.167139558405356,0.0126431026313506,False,
272,ZTF_r,P48,58661.3159028,18.208518390957707,0.0123171198985194,False,
273,ZTF_i,P48,58663.1844676,18.08122560712332,0.0224774359861409,False,
274,ZTF_r,P48,58663.30251159999,18.16362824912205,0.0128812578181481,False,
